Creating header
Reading header
Read from /home/vsand/OpenSpace/enlilTestData_256_256_256_32.vdf complete!
Data dimensionality: 1
Number of timesteps: 32
Dimensions: 256 x 256 x 256
Brick dimensions: 32 x 32 x 32
Number of bricks: 8 x 8 x 8
Structure: 0
Data size (bytes): 4
Out file name: /home/vsand/OpenSpace/tsp_test.tsp
Number of bricks in base octree level: 512
Number of levels in octree: 4
Number of bricks in octree: 585
Constructing octree for timestep 0
0 writing val 0 0 0
1 writing val 0 0 0
2 writing val 0 0 0.016712
3 writing val 0 0 0.00532086
4 writing val 0 0 0
5 writing val 0 0 0
6 writing val 0 0 0.0106326
7 writing val 0 0 0.00267983
8 writing val 0 0 0
9 writing val 0 0 0
10 writing val 0 0 0.00115722
11 writing val 0 0 0.000578077
12 writing val 0 0 0
13 writing val 0 0 0
14 writing val 0 0 0.00154917
15 writing val 0 0 0.000579842
16 writing val 0.689941 0.110511 0.0134788
17 writing val 0.0129347 0.00843982 0.00612053
18 writing val 0.552719 0.103233 0.0162335
19 writing val 0.0149503 0.00908021 0.00668177
20 writing val 0.424476 0.10289 0.0265154
21 writing val 0.0206353 0.0110355 0.00333188
22 writing val 0.417876 0.0876201 0.0252028
23 writing val 0.0245901 0.016469 0.00798683
24 writing val 0.00718203 0.00572392 0.00413914
25 writing val 0.00233631 0.00107715 0.000584169
26 writing val 0.00566585 0.00646789 0.0050265
27 writing val 0.00441652 0.0027699 0.000910946
28 writing val 0.0030726 0.00219439 0.00107922
29 writing val 0.00108183 0.000845531 0.000586056
30 writing val 0.00460053 0.00246378 0.00144501
31 writing val 0.00113517 0.0008712 0.000556718
32 writing val 0 0 0
33 writing val 0 0 0
34 writing val 0 0 0.00999985
35 writing val 0 0 0.00240483
36 writing val 0 0 0
37 writing val 0 0 0
38 writing val 0 0 0.00870392
39 writing val 0 0 0.00262019
40 writing val 0 0 0
41 writing val 0 0 0
42 writing val 0 0 0.00117623
43 writing val 0 0 0.000752957
44 writing val 0 0 0
45 writing val 0 0 0
46 writing val 0 0 0.00111103
47 writing val 0 0 0.000742167
